D50,lon,lat
30.35631561,7.918666694,45.1802657028
31.85618210,7.918793863,45.1802657028
32.25923920,7.918921032,45.1802657028
33.87107468,7.919048201,45.1802657028
34.13491440,7.919175370,45.1802657028
30.62564850,7.919302539,45.1802657028
30.35583496,7.919429708,45.1802657028
31.05536842,7.919556877,45.1802657028
31.05536842,7.919684046,45.1802657028
34.21107101,7.919811215,45.1802657028
31.95282745,7.919938384,45.1802657028
30.77716637,7.920065553,45.1802657028
30.00788307,7.920192722,45.1802657028
30.23643684,7.920319891,45.1802657028
30.64882851,7.920447060,45.1802657028
30.53931236,7.920574229,45.1802657028
30.34269142,7.920701398,45.1802657028
30.34269142,7.920828566,45.1802657028
30.41316223,7.920955735,45.1802657028
32.34613037,7.921082904,45.1802657028
30.89516258,7.921210073,45.1802657028
32.86260986,7.921845918,45.1802657028
32.86260986,7.921973087,45.1802657028
24.27873039,7.922100256,45.1802657028
29.48883820,7.873013038,45.1801757858
32.19783020,7.875429248,45.1801757858
31.60845566,7.875556417,45.1801757858
31.60845566,7.875683586,45.1801757858
21.98585129,7.893360071,45.1801757858
23.16397095,7.893487240,45.1801757858
28.86522293,7.916123315,45.1801757858
28.86522293,7.916250484,45.1801757858
29.92871857,7.916377653,45.1801757858
29.07141495,7.916504822,45.1801757858
29.48519897,7.916631991,45.1801757858
21.38701439,7.917140667,45.1801757858
19.30347633,7.917267836,45.1801757858
19.30347633,7.917395005,45.1801757858
21.87378311,7.917522174,45.1801757858
27.35926437,7.917649343,45.1801757858
26.91623116,7.917776511,45.1801757858
29.68891525,7.917903680,45.1801757858
29.59721184,7.918030849,45.1801757858
28.61931419,7.918158018,45.1801757858
29.46210098,7.918285187,45.1801757858
30.43917847,7.918412356,45.1801757858
30.43917847,7.918539525,45.1801757858
28.48407936,7.918666694,45.1801757858
29.93381882,7.918793863,45.1801757858
30.79131889,7.918921032,45.1801757858
28.93403435,7.919048201,45.1801757858
29.49460983,7.919175370,45.1801757858
30.62564850,7.919302539,45.1801757858
30.35583496,7.919429708,45.1801757858
31.05536842,7.919556877,45.1801757858
31.05536842,7.919684046,45.1801757858
34.21107101,7.919811215,45.1801757858
31.95282745,7.919938384,45.1801757858
30.77716637,7.920065553,45.1801757858
30.00788307,7.920192722,45.1801757858
30.23643684,7.920319891,45.1801757858
30.99251175,7.920447060,45.1801757858
29.59035301,7.920574229,45.1801757858
30.10149384,7.920701398,45.1801757858
30.10149384,7.920828566,45.1801757858
29.30165291,7.920955735,45.1801757858
29.69207573,7.921082904,45.1801757858
20.33780098,7.922736101,45.1801757858
18.04109001,7.924134959,45.1801757858
18.04109001,7.924262128,45.1801757858
18.10773849,7.924389297,45.1801757858
20.00311279,7.924516466,45.1801757858
23.34111404,7.924643635,45.1801757858
22.49524498,7.924770804,45.1801757858
22.29819489,7.924897973,45.1801757858
38.15525055,7.915996146,45.1800858688
38.15525055,7.916123315,45.1800858688
29.38306236,7.916504822,45.1800858688
29.35717964,7.916631991,45.1800858688
25.53467178,7.917013498,45.1800858688
19.23490143,7.917140667,45.1800858688
19.23490143,7.917267836,45.1800858688
20.48015022,7.917395005,45.1800858688
24.15338135,7.917522174,45.1800858688
28.48466873,7.917649343,45.1800858688
29.58273506,7.917776511,45.1800858688
